Модель;Закупочная цена
Xiaomi Redmi 8 4/64GB (M1908C3IG) Duos;1950
Xiaomi Redmi 9 NFC 4/64GB (M2004J19AG) Duos;1950
Xiaomi Redmi 9 NFC 4/64GB (M2004J19G) Duos;1950
Xiaomi Redmi 9T NFC 4/64GB (M2010J19SY) Duos;1950
Xiaomi Redmi A3x 3/64GB (24048RN6CG) Duos;1950
Xiaomi Redmi Note 5 4/64GB (M1803E7SG) Duos;1950
Xiaomi Redmi Note 5 4/64GB (MEE7S) Duos;1950
Xiaomi Redmi Note 7 4/64GB (M1901F7G) Duos;1950
Xiaomi Redmi Note 8 4/64GB (M1908C3JG) Duos;1950
Xiaomi Redmi Note 8T 3/32GB (M1908C3XG) Duos;1950
Xiaomi Redmi Note 8T 4/64GB (M1908C3XG) Duos;1950
Xiaomi Redmi Note 9 NFC 3/64GB (M2003J15SG) Duos;1950
Xiaomi Redmi S2 4/64GB (M1803E6G) Duos;1950
Xiaomi Mi A2 Lite 4/64GB Duos;1800
Xiaomi Mi Max 2 4/64GB (MDE40) Duos;1800
Xiaomi Mi Play 4/64GB (M1901F9E) Duos;1800
Xiaomi Redmi 10C 3/64GB (220333QNY) Duos;1800
Xiaomi Redmi 10C 4/64GB (220333QNY) Duos;1800
Xiaomi Redmi 12C 3/64GB (22126RN91Y) Duos;1800
Xiaomi Redmi 5 Plus 4/64GB (MEG7/MEE7) Duos;1800
Xiaomi Redmi 8A 4/64GB (M1908C3KH) Duos;1800
Xiaomi Redmi A2+ 3/64GB (23028RNCAG) Duos;1800
Xiaomi Redmi Note 6 Pro 3/32GB (M1806E7TG) Duos;1800
Xiaomi Mi A2 Lite 3/32GB (M1805D1SG) Duos;1650
Xiaomi Mi A2 Lite 3/32GB Duos;1650
Xiaomi Redmi 7 3/32GB (M1810F6LG) Duos;1650
Xiaomi Redmi 8 3/32GB (M1908C3IG) Duos;1650
Xiaomi Redmi 9 NFC 3/32GB (M2004J19AG) Duos;1650
Xiaomi Redmi Note 5 3/32GB (M1803E7SG) Duos;1650
Xiaomi Redmi Note 5 3/32GB (M1803E7SH) Duos;1650
Xiaomi Redmi Note 7 3/32GB (M1901F7G) Duos;1650
Xiaomi Redmi Note 8 3/32GB (M1908C3JG) Duos;1650
Xiaomi Mi A1 4/32GB (MDG2) Duos;1550
Xiaomi Redmi 10A 2/32GB (220233L2G) Duos;1550
Xiaomi Redmi 5 Plus 3/32GB (MEG7/MEE7) Duos;1550
Xiaomi Redmi 6 3/64GB (M1804C3DG) Duos;1550
Xiaomi Redmi 6 4/64GB (M1804C3DE) Duos;1550
Xiaomi Redmi 8A 2/32GB (M1908C3KG) Duos;1550
Xiaomi Redmi 9C 2/32GB (M2006C3MG) Duos;1550
Xiaomi Redmi 9C NFC 3/64GB (M2006C3MNG) Duos;1550
Xiaomi Redmi Note 3 3/32GB Duos;1550
Xiaomi Redmi Note 4 3/64GB Duos;1550
Xiaomi Redmi Note 4/4X 3/32GB Duos;1550
Xiaomi Redmi Note 4/4X 4/64GB Duos;1550
Xiaomi Redmi 6 3/32GB (M1804C3DE) Duos;1400
Xiaomi Redmi 6 3/32GB (M1804C3DG) Duos;1400
Xiaomi Redmi 7 2/16GB (M1810F6LG) Duos;1400
Xiaomi Redmi Note 5A 4/64GB (MDE6S) Duos;1400
Xiaomi Redmi 4 Prime 3/32GB Duos;1250
Xiaomi Redmi 9C NFC 2/32GB (M2006C3MNG) Duos;1250
Xiaomi Redmi A1+ 2/32GB (220733SFG) Duos;1250
Xiaomi Redmi Note 2 2/32GB Duos;1250
Xiaomi Redmi Note 3 2/16GB Duos;1250
Xiaomi Redmi 9A 2/32GB (M2006C3LG/M2006C3LI) Duos;1100
Xiaomi Redmi 7A 2/16GB (M1903C3EG) Duos;900
Xiaomi Redmi 7A 2/32GB (M1903C3EG) Duos;900
Xiaomi Redmi 4X 3/32GB Duos;850
Xiaomi Redmi 6A 2/16GB (M1804C3CG) Duos;850
Xiaomi Redmi 3 2/16GB Duos;700
Xiaomi Redmi 3S 2/16GB Duos;700
Xiaomi Redmi 4A 2/32GB Duos;700
Xiaomi Redmi 4A 2/16GB Duos;550
Xiaomi Redmi 5A 2/16GB (MCG3B/MCE3B) Duos;550
Xiaomi Redmi Go 1/16GB (M1903C3GG) Duos;550
Xiaomi Redmi 2 (2014817, HM 2LTE-CT/SA) Duos;500
Xiaomi Redmi Go 1/8GB (M1903C3GG) Duos;500
Xiaomi Redmi 1S Duos;450
Xiaomi 13 Pro 12/512GB (2210132G) Duos;Не доступно
