Модель;Закупочная цена
Samsung Galaxy Mega 5.8 (i9152) Duos;900
Samsung Galaxy S4 (i9505);900
Samsung Galaxy S5 2/16GB (G900F);900
Samsung Galaxy Grand Max (G720N0);850
Samsung Galaxy A01 Core 16GB (A013F/DS) Duos;700
Samsung Galaxy A3 2016 (A310F) Duos;700
Samsung Galaxy A5 (A500F) Duos;700
Samsung Galaxy J2 Core 2020 (J260FU) Duos;700
Samsung Galaxy J3 2017 (J330F) Duos;700
Samsung Galaxy J5 2016 (J510FN) Duos;700
Samsung Galaxy S4 (i9500);700
Samsung Galaxy A3 (A300F) Duos;550
Samsung Galaxy S3 (i9300I) Duos;550
Samsung Galaxy S3 Neo (I9301I);550
Samsung Galaxy S5 mini (G800F);550
Samsung Galaxy S5 mini (G800H) Duos;550
Samsung Galaxy J3 2016 (J320F) Duos;500
Samsung Galaxy Grand Neo (i9060) Duos;450
Samsung Galaxy Grand Prime (G530H) Duos;450
Samsung Galaxy Grand Prime VE (G531H) Duos;450
Samsung Galaxy J2 Core 8GB (J260F) Duos;450
Samsung Galaxy J2 Prime (G532F) Duos;450
Samsung Galaxy Win (i8552) Duos;450
Samsung B310E Duos;350
Samsung B315E Duos;350
Samsung D780 Duos;350
Samsung E1272 Duos;350
Samsung Galaxy Ace 3 (S7270);350
Samsung Galaxy Ace 4 Neo (G318H) Duos;350
Samsung Galaxy Ace La Fleur (S5830I);350
Samsung Galaxy Ace Plus (S7500);350
Samsung Galaxy Core 2 (G355H) Duos;350
Samsung Galaxy Grand (i9082) Duos;350
Samsung Galaxy Grand Prime VE (G531F);350
Samsung Galaxy J1 2016 (J120F) Duos;350
Samsung Galaxy J1 Mini (J105H) Duos;350
Samsung Galaxy J1 Mini Prime 2016 (J106F) Duos;350
Samsung Galaxy S (S7562) Duos;350
Samsung Galaxy S Advance (i9070);350
Samsung Galaxy S scLCD (i9003);350
Samsung L700;350
Samsung U800;350
Samsung Utopia (S5611);350
Samsung Wave 723 (S7230);350
Samsung Wave M (S7250D);350
Samsung C3010;250
Samsung Champ (C3300I);250
Samsung Corby (S3650);250
Samsung Galaxy Ace (S6802) Duos;250
Samsung Galaxy J1 (J110H) Duos;250
Samsung Galaxy Mini (S5570);250
Samsung Galaxy Star Advance (G350E) Duos;250
Samsung Galaxy Star Plus (S7262) Duos;250
Samsung Galaxy Y (S6102) Duos;250
Samsung J700;250
Samsung Star 2 (S5260);250
Samsung Wave 525 (S5250);250
Samsung X510;250
Samsung C200N;1
Samsung E1080;1
Samsung E1080i;1
Samsung E1200;1
Samsung X120;1
Samsung X160;1
Samsung X450;1
Samsung X460;1
Samsung X480;1
Samsung Galaxy A04 4/64GB (A045F) Duos;Не доступно
